epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.439,0.95605,2.61209,1.11257,0.55522,0.49951,0.50241,0.37124,0.81854,1.14695,0.98321,0.00030027,0.00030027,0.00030027
2,249.325,0.94267,1.2351,1.07983,0.64615,0.51549,0.55943,0.40899,0.85306,1.12514,1.02013,0.000591326,0.000591326,0.000591326
3,376.861,0.97621,1.18304,1.10613,0.62963,0.48325,0.53375,0.38654,0.8865,1.24078,1.05393,0.000870382,0.000870382,0.000870382
4,505.148,0.98615,1.12551,1.09585,0.6971,0.50603,0.57759,0.40328,0.93824,1.05632,1.05714,0.000855005,0.000855005,0.000855005
5,628.73,0.95165,1.03004,1.08387,0.70463,0.55269,0.60332,0.44797,0.85045,0.97765,1.00772,0.000837007,0.000837007,0.000837007
6,752.805,0.91108,0.94989,1.07132,0.76529,0.56852,0.63586,0.47219,0.81693,0.86595,0.99369,0.000819009,0.000819009,0.000819009
7,878.175,0.88825,0.91202,1.05315,0.79123,0.57538,0.65212,0.47432,0.81451,0.84831,0.99869,0.000801011,0.000801011,0.000801011
8,1005.53,0.87495,0.91123,1.04546,0.81581,0.60305,0.67821,0.50594,0.7565,0.77984,0.96033,0.000783013,0.000783013,0.000783013
9,1127.58,0.85273,0.8492,1.03298,0.85593,0.57648,0.6691,0.49843,0.76637,0.80202,0.97106,0.000765014,0.000765014,0.000765014
10,1248.55,0.81511,0.80561,1.02021,0.81156,0.63772,0.70271,0.53587,0.72201,0.70516,0.95155,0.000747016,0.000747016,0.000747016
11,1369.92,0.81426,0.78952,1.01418,0.80306,0.65297,0.70512,0.5296,0.71228,0.72255,0.94139,0.000729018,0.000729018,0.000729018
12,1490.35,0.78717,0.75614,0.99805,0.8819,0.6165,0.71626,0.54779,0.69582,0.68877,0.9277,0.00071102,0.00071102,0.00071102
13,1614.35,0.77072,0.73987,0.99454,0.82912,0.65561,0.72137,0.55313,0.69734,0.65829,0.9356,0.000693022,0.000693022,0.000693022
14,1738.48,0.77305,0.72818,0.99253,0.84958,0.64885,0.72148,0.55319,0.67878,0.68136,0.92545,0.000675023,0.000675023,0.000675023
15,1860.65,0.76789,0.72144,0.9924,0.87807,0.62984,0.72002,0.55693,0.69371,0.65613,0.92041,0.000657025,0.000657025,0.000657025
16,1981.7,0.73403,0.67986,0.97728,0.85668,0.63944,0.73232,0.56236,0.65071,0.63678,0.90988,0.000639027,0.000639027,0.000639027
17,2102.62,0.72961,0.68571,0.97576,0.84198,0.67454,0.72859,0.5703,0.66028,0.60637,0.92181,0.000621029,0.000621029,0.000621029
18,2224.85,0.7102,0.64275,0.96907,0.86015,0.63355,0.72423,0.56815,0.64046,0.64203,0.91591,0.000603031,0.000603031,0.000603031
19,2347.28,0.69473,0.62269,0.95692,0.86495,0.64311,0.73291,0.57798,0.64375,0.62103,0.90964,0.000585032,0.000585032,0.000585032
20,2469.37,0.68454,0.621,0.95127,0.86859,0.67929,0.74483,0.58306,0.62567,0.60509,0.90609,0.000567034,0.000567034,0.000567034
21,2593.33,0.67711,0.58895,0.95388,0.84099,0.66944,0.73856,0.59135,0.61022,0.59066,0.89559,0.000549036,0.000549036,0.000549036
22,2714.18,0.66016,0.57952,0.94365,0.91599,0.66323,0.75834,0.60036,0.61829,0.56896,0.89467,0.000531038,0.000531038,0.000531038
23,2835.69,0.66931,0.59523,0.94513,0.86516,0.67381,0.75199,0.60112,0.61941,0.57477,0.91135,0.00051304,0.00051304,0.00051304
24,2957.35,0.65333,0.56852,0.93893,0.82973,0.67682,0.74712,0.60074,0.61384,0.56715,0.90514,0.000495041,0.000495041,0.000495041
25,3079.9,0.64572,0.54825,0.93408,0.87951,0.67401,0.75456,0.60933,0.59909,0.56939,0.88521,0.000477043,0.000477043,0.000477043
26,3200.04,0.63325,0.54942,0.93297,0.88992,0.69761,0.7639,0.61391,0.57571,0.53002,0.88886,0.000459045,0.000459045,0.000459045
27,3319.04,0.62209,0.53034,0.92742,0.90745,0.65941,0.7618,0.6052,0.58322,0.53788,0.88707,0.000441047,0.000441047,0.000441047
28,3439.03,0.61377,0.53829,0.92362,0.92153,0.67815,0.76558,0.62425,0.56799,0.52041,0.88506,0.000423049,0.000423049,0.000423049
